Title,Location,Skills,Salary
AI/ML,CA,TensorFlow; Kotlin; 6 years; Law; Doctoral degree; PyTorch; Spark; Master's degree; Machine learning; Doctor of Philosophy; Scala; Master of Science; Natural language processing; Senior level; AI; Leadership; Python,137100.0
AI/ML,OH,TensorFlow; Power BI; 6 years; Data mining; Management; Computer Science; PyTorch; Spark; R; NoSQL; Google Cloud Platform; Research; Tableau; Prompt engineering; Java; Algorithms; SQL; AWS; Bachelor's degree; Machine learning; Scala; Experimental design; Data science; Keras; Senior level; AI; Communication skills; Python; Teaching; Hadoop; Stakeholder management; Information Technology,116111.0
AI/ML,AZ,Google Suite; English; Organizational skills; Warehouse experience; Mac OS; AI; Entry level; Under 1 year,32000.0
AI/ML,NY,11+ years; Mid-level; Driver's License; Physical Therapy License; AI; Communication skills,110000.0
AI/ML,CA,Computer Science; Software Engineering; 5 years; Mid-level; Bachelor's degree; Software development; AI,150000.0
AI/ML,CA,AI models; TensorFlow; Doctoral degree; PyTorch; Research; 3 years; Algorithms; Machine learning; Doctor of Philosophy; Deep learning; Physics; Open source contribution; Senior level; AI; Communication skills,8321.0
AI/ML,UT,Statistics; Doctoral degree; Signal processing; Bachelor of Science; Encryption; Research; Electrical engineering; Master's degree; Bachelor's degree; Machine learning; Mentoring; Computer Engineering; Natural language processing; Organizational skills; Senior level; Electrical Engineering; AI; Communication skills; Teaching,85300.0
AI/ML,NY,Microsoft Excel; Product marketing; 5 years; Merchandising; Tableau; Project management; Pivot tables; Senior level; AI; Integrated marketing; Data manipulation; Marketing; Generative AI,128600.0
AI/ML,NY,French; English; Master's degree; Bachelor's degree; Data analytics; International Relations; Senior level; AI; Negotiation; International Law; 10 years,132000.0
AI/ML,NJ,5 years; Mid-level; Master's degree; Bachelor's degree; Machine learning; Data analytics; IT; Cybersecurity; AI; Teaching; Generative AI,70100.0
AI/ML,IL,Microsoft Powerpoint; Statistics; Doctoral degree; R; Data analysis skills; Mid-level; Master's degree; Statistical analysis; Bachelor's degree; Machine learning; Doctor of Philosophy; JavaScript; Supervised learning; Natural language processing; AI; Communication skills; Python; Generative AI; Under 1 year; Data Science,74799.0
AI/ML,IL,Doctoral degree; Business analysis; Master's degree; Analysis skills; Project management; Bachelor's degree; Machine learning; Doctor of Philosophy; Agile; IT; Budgeting; Marketing operations; Senior level; AI; Financial acumen; 2 years; Communication skills; Marketing; Negotiation; Strategic planning,152000.0
AI/ML,Remote,Bachelor of Science; Prompt engineering; Bachelor's degree; Product development; Natural language processing; Senior level; AI; 10 years,180000.0
AI/ML,Remote,Management; Cloud architecture; IT management; IT people management experience; AWS; Technology management; Natural language processing; Senior level; AI; Senior leadership; 10 years,150000.0
AI/ML,Remote,AI models; AI chatbots; Scikit-learn; TensorFlow; Reinforcement learning; PyTorch; Computer vision; Software deployment; R; Google Cloud Platform; Mid-level; Java; AWS; Analysis skills; Machine learning; Model deployment; Natural language processing; A/B testing; AI; Machine learning frameworks; 2 years; Python; MLOps,32700.0
AI/ML,NJ,AI models; Computer science; Law; Doctoral degree; Applied Mathematics; Data governance; Master's degree; 8 years; Project management; Doctor of Philosophy; Product management; Contracts; Financial services; Data science; Senior level; AI; Leadership; Communication skills; Data Science,142500.0
AI/ML,Remote,Live chat; 9 years; Senior level; AI; Figma; Communication skills; Mobile design,248000.0
AI/ML,WA,Agile product development; Azure; PCI; Kanban; Writing skills; SOX; Product development; Scrum; Organizational skills; ServiceNow; Agile; 1 year; Business requirements; Senior level; AI; Requirements gathering; Communication skills; Time management,97200.0
AI/ML,AZ,Bilingual; Biology; Doctoral degree; Mid-level; Master's degree; Doctor of Philosophy; AI,80000.0
AI/ML,Remote,Microsoft Powerpoint; Business intelligence; Data structures; Data governance; Analysis skills; Project management; Presentation skills; Bachelor's degree; Data science; Senior level; AI; 4 years; Leadership,102500.0
AI/ML,NY,Computer science; Reinforcement learning; Law; Doctoral degree; 5 years; Research; Algorithms; Machine learning; Algorithm design; Research data collection; Senior level; AI,161600.0
AI/ML,NY,French; 7 years; Management; English; Master's degree; Social Sciences; Bachelor's degree; Senior level; AI; Gender issues counseling,120000.0
AI/ML,Remote,No experience needed; English; Research; Mid-level; Russian; Proofreading; AI; Grammar Experience; Editing; Under 1 year,34200.0
AI/ML,AZ,Mid-level; Bachelor's degree; Machine learning; AI; Time management,70000.0
AI/ML,MA,Computer science; Kotlin; Data mining; Doctoral degree; Computer Science; Software troubleshooting; Mid-level; Java; Master's degree; OOP; C++; C; Bachelor's degree; Machine learning; Data management; Doctor of Philosophy; Model deployment; Natural language processing; Software development; AI; 2 years; Python; SDLC; Design patterns,130000.0
AI/ML,CA,Bachelor of Science; R; Mathematics; Mid-level; SQL; Bachelor's degree; Data analytics; Predictive analytics; Data science; AI; Leadership; Python; Analytics,200000.0
AI/ML,Remote,Transcription; Computer skills; AI; Entry level; Under 1 year,18800.0
AI/ML,CA,Software deployment; Data analysis skills; Mid-level; C++; Machine learning; Deep learning; AI; Communication skills; Python,120000.0
