Title,Location,Skills,Salary
AI/ML,CA,tensorflow; law; scala; pytorch; kotlin; spark; python; machine learning; ai; natural language processing,137100.0
AI/ML,OH,tensorflow; keras; aws; management; data mining; algorithms; ai; google cloud platform; python; prompt engineering; java; data science; experimental design; power bi; nosql; tableau; scala; research; computer science; pytorch; information technology; communication skills; spark; sql; stakeholder management; hadoop; machine learning; r,116111.0
AI/ML,AZ,warehouse experience; google suite; mac os; organizational skills; ai; english,32000.0
AI/ML,NY,communication skills; physical therapy; ai,110000.0
AI/ML,CA,software development; computer science; software engineering; ai,150000.0
AI/ML,CA,tensorflow; physics; ai; pytorch; communication skills; deep learning; machine learning; algorithms; research; open source contribution; ai models,8321.0
AI/ML,UT,signal processing; computer engineering; communication skills; organizational skills; electrical engineering; machine learning; research; ai; statistics; encryption; natural language processing,85300.0
AI/ML,NY,tableau; product marketing; merchandising; pivot tables; integrated marketing; marketing; generative ai; data manipulation; microsoft excel; ai; project management,128600.0
AI/ML,NY,data analytics; negotiation; international relations; international law; french; ai; english,132000.0
AI/ML,NJ,data analytics; cybersecurity; it; machine learning; generative ai; ai,70100.0
AI/ML,IL,statistical analysis; communication skills; python; data science; javascript; machine learning; natural language processing; generative ai; data analysis skills; r; ai; statistics; supervised learning,74799.0
AI/ML,IL,negotiation; strategic planning; agile; ai; financial acumen; it; communication skills; business analysis; budgeting; machine learning; marketing; analysis skills; marketing operations; project management,152000.0
AI/ML,Remote,prompt engineering; product development; ai; natural language processing,180000.0
AI/ML,Remote,technology management; aws; management; it management; cloud architecture; it people management experience; ai; natural language processing,150000.0
AI/ML,Remote,tensorflow; aws; ai; google cloud platform; analysis skills; ai models; natural language processing; python; java; mlops; computer vision; ai chatbots; a/b testing; reinforcement learning; model deployment; pytorch; scikit-learn; machine learning; machine learning frameworks; r; software deployment,32700.0
AI/ML,NJ,law; contracts; financial services; data science; communication skills; data governance; computer science; ai; ai models; project management; applied mathematics,142500.0
AI/ML,Remote,mobile design; communication skills; live chat; figma; ai,248000.0
AI/ML,WA,servicenow; sox; kanban; azure; agile; business requirements; communication skills; agile product development; time management; organizational skills; writing skills; pci; scrum; requirements gathering; product development; ai,97200.0
AI/ML,AZ,bilingual; biology; ai,80000.0
AI/ML,Remote,business intelligence; data structures; ai; presentation skills; data science; data governance; analysis skills; project management,102500.0
AI/ML,NY,research data collection; law; reinforcement learning; algorithm design; machine learning; algorithms; research; computer science; ai,161600.0
AI/ML,NY,social sciences; gender issues counseling; management; french; ai; english,120000.0
AI/ML,Remote,proofreading; russian; no experience needed; editing; research; ai; english,34200.0
AI/ML,AZ,ai; machine learning; time management,70000.0
AI/ML,MA,design patterns; data mining; c; python; ai; natural language processing; java; kotlin; software development; oop; data management; software troubleshooting; c++; computer science; model deployment; sdlc; machine learning,130000.0
AI/ML,CA,data analytics; ai; predictive analytics; data science; sql; analytics; r; mathematics; python,200000.0
AI/ML,Remote,computer skills; ai,18800.0
AI/ML,CA,communication skills; c++; deep learning; machine learning; data analysis skills; ai; python; software deployment,120000.0
AI/ML,Remote,docker; ai; hospitality; c#; java; python; sql; computer engineering; html; javascript; css; machine learning; oracle; data structures; oop; kubernetes,40300.0
AI/ML,DE,spring; servicenow; network protocols; aws; spring boot; salesforce; text-to-speech; analysis skills; ai; crm software; terraform; java; pci; apis; jira; ivr; postgresql; identity & access management; nosql; ci/cd; cloud architecture; sdks; s3; devops; git; databases; computer networking; agile; dynamodb; jenkins; communication skills; sql; active directory,136000.0
AI/ML,WA,computer engineering; ai; python; opencv; signal processing; unity; software development; computer vision; c++; research; computer science; pytorch; deep learning; machine learning; machine learning frameworks; r,141340.0
AI/ML,Remote,law; vulnerability assessment; ai; security,100000.0
AI/ML,CA,tensorflow; pytorch; computer vision; management; math; deep learning; machine learning; generative ai; computer science; ai,235000.0
AI/ML,CA,ai; full-stack development,86180.0
AI/ML,Remote,google docs; communication skills; ai,120000.0
AI/ML,Remote,tensorflow; keras; management; text-to-speech; python; ai; natural language processing; supervising experience; computer vision; jupyter; github; pytorch; communication skills; machine learning,70000.0
AI/ML,MA,machine learning; pytorch,160000.0
AI/ML,CA,aws; django; ai; python; natural language processing; flask; prompt engineering; software development; generative ai; apis; kubernetes; computer science; debugging; law; docker; databases; communication skills; sql; deep learning; machine learning,88100.0
AI/ML,IN,ai; class d,30000.0
AI/ML,Remote,content creation; photography; acting; communication skills; ai,124000.0
AI/ML,CA,ai; growing experience; machine learning; algorithms; data structures; natural language processing,150000.0
AI/ML,Remote,data analytics; cybersecurity; negotiation; military; it; communication skills; it sourcing; public speaking; ai,190000.0
