Job Name,Location,Salary,Qualifications
AI/ML,"San Francisco Bay Area, CA","$137,100 - $201,600 a year",TensorFlow; Kotlin; 6 years; Law; Doctoral degree; PyTorch; Spark; Master's degree; Machine learning; Doctor of Philosophy; Scala; Master of Science; Natural language processing; Senior level; AI; Leadership; Python
AI/ML,"Cleveland, OH","$116,111 - $150,409 a year",TensorFlow; Power BI; 6 years; Data mining; Management; Computer Science; PyTorch; Spark; R; NoSQL; Google Cloud Platform; Research; Tableau; Prompt engineering; Java; Algorithms; SQL; AWS; Bachelor's degree; Machine learning; Scala; Experimental design; Data science; Keras; Senior level; AI; Communication skills; Python; Teaching; Hadoop; Stakeholder management; Information Technology
AI/ML,"Phoenix, AZ",$16.00 - $16.50 an hour,Google Suite; English; Organizational skills; Warehouse experience; Mac OS; AI; Entry level; Under 1 year
AI/ML,"New York, NY",$55 - $75 an hour,11+ years; Mid-level; Driver's License; Physical Therapy License; AI; Communication skills
AI/ML,"Sunnyvale, CA","$150,000 - $175,000 a year",Computer Science; Software Engineering; 5 years; Mid-level; Bachelor's degree; Software development; AI
AI/ML,"San Francisco Bay Area, CA","$8,321 - $9,646 a month",AI models; TensorFlow; Doctoral degree; PyTorch; Research; 3 years; Algorithms; Machine learning; Doctor of Philosophy; Deep learning; Physics; Open source contribution; Senior level; AI; Communication skills
AI/ML,"Logan, UT",Estimated: $85.3K - $107K a year,Statistics; Doctoral degree; Signal processing; Bachelor of Science; Encryption; Research; Electrical engineering; Master's degree; Bachelor's degree; Machine learning; Mentoring; Computer Engineering; Natural language processing; Organizational skills; Senior level; Electrical Engineering; AI; Communication skills; Teaching
AI/ML,"New York, NY","$128,600 - $212,600 a year",Microsoft Excel; Product marketing; 5 years; Merchandising; Tableau; Project management; Pivot tables; Senior level; AI; Integrated marketing; Data manipulation; Marketing; Generative AI
AI/ML,"New York, NY",Estimated: $132K - $209K a year,French; English; Master's degree; Bachelor's degree; Data analytics; International Relations; Senior level; AI; Negotiation; International Law; 10 years
AI/ML,"Wayne, NJ",Estimated: $70.1K - $87.2K a year,5 years; Mid-level; Master's degree; Bachelor's degree; Machine learning; Data analytics; IT; Cybersecurity; AI; Teaching; Generative AI
