Job Name,Location,Salary,Qualifications
Software Engineer - AI Trainer,"Huntsville, AL",From $40 an hour,Writing skills; C#; English; Mid-level; SQL; C++; Bachelor's degree; JavaScript; Software development; Swift; AI; Grammar Experience; Python; HTML
Associate Software Engineer (AHT),"Huntsville, AL","$70,600 - $106,000 a year",Jira; JUnit; Kubernetes; Ansible; XML; Visual Studio; Test automation; Secret Clearance; Git; Java; Bash; Jupyter; C++; Docker; Bachelor's degree; Confluence; Surveillance; JavaScript; Jupyter Notebook; Perl; Systems engineering; Software development; GitHub; Agile; Linux; Eclipse; Unit testing; CompTIA Security+; Jenkins; GitLab; Python; Shell Scripting; Entry level
Senior Software Engineer - Container,"Pleasant Prairie, WI",Estimated: $114K - $174K a year,Spring Boot; CI/CD; Computer science; Computer Science; Kubernetes; Java; Microservices; SQL; Bachelor's degree; Software development; Red Hat OpenShift; Senior level; Spring; Information Technology; 10 years
Software Engineer,"Brooklyn, NY","$120,000 - $200,000 a year",Mid-level; Personal injury law
Software Engineer,"Colorado Springs, CO","$81,300 - $121,900 a year",Jira; CI/CD; Top Secret Clearance; Kanban; Bachelor of Science; Git; Mid-level; Master's degree; Business development; C++; Database management; Bachelor's degree; SVN; Confluence; PostgreSQL; Master of Science; Scrum; Software development; Agile; SQLite; Linux; Communication skills; Python; Under 1 year; MySQL
Software Developer,"Seattle, WA",Estimated: $68.2K - $131K a year,CI/CD; Oracle; Computer Science; Software troubleshooting; Data structures; Java; Master's degree; Ruby; Software development; 1 year; Software architecture; Entry level
Software Development Engineer 1,"Lehi, UT","$76,000 - $152,200 a year",Computer science; Computer Science; DevOps; C#; Java; PHP; C++; Bachelor's degree; Computer Engineering; Ruby; APIs; SaaS; Communication skills; Python; Entry level; Debugging; Under 1 year
Senior Full Stack Software Engineer,"Melbourne, FL","$112,000 - $179,000 a year",Spring Boot; CI/CD; Top Secret Clearance; MVC; Gradle; Doctoral degree; JUnit; React; Kubernetes; RESTful API; TS/SCI; Software deployment; Bachelor of Science; Cucumber; Maintenance; Selenium; MongoDB; Java; Master's degree; PKI; AWS; Analysis skills; Docker; Bachelor's degree; Doctor of Philosophy; ECMAScript; SDKs; RabbitMQ; Angular; Scrum; Agile; S3; Senior level; 4 years; CompTIA Security+; TypeScript; Intelligence community; GitLab; Communication skills; Spring; Debugging; Spring MVC
2025 Fulltime - Raytheon Software Infrastructure Engineer I – (On-site),"Aurora, CO","$55,000 - $107,000 a year",Jira; CI/CD; Go; Kubernetes; Ansible; DevOps; Git; Google Cloud Platform; Windows; Java; Bash; AWS; Docker; Bachelor's degree; Confluence; Perl; Scripting; Computer networking; Ruby; Software development; Agile; Linux; 1 year; Cybersecurity; Chef; Jenkins; Python; PowerShell; Shell Scripting; Entry level; SDLC
Software Engineer 2,"San Juan, PR","$80,000 - $100,000 a year",CI/CD; Computer Science; React; Jest; Git; English; Mid-level; 3 years; Docker; Bachelor's degree; JavaScript; PostgreSQL; Redis; Software development; Agile; Unit testing; AI; 2 years; TypeScript; Communication skills
Software Engineer (Remote),United States,"$80,000 - $100,000 a year",CI/CD; Computer science; Go; Computer Science; Data structures; NoSQL; Git; Mid-level; .NET; Algorithms; High school diploma or GED; SQL; AWS; Docker; Bachelor's degree; Product development; Machine learning; Conflict management; Ruby; Agile; Electrical Engineering; 2 years; Python; Design patterns
Backend Software Engineer - AI Trainer,"Brockton, MA",From $40 an hour,Writing skills; C#; English; Mid-level; SQL; C++; Bachelor's degree; JavaScript; Swift; AI; Grammar Experience; Python; HTML
Software Engineer,"New Haven, CT","From $105,000 a year",Jira; Computer science; Gradle; RESTful API; Writing skills; Microsoft SQL Server; Git; Mid-level; 3 years; Java; SOAP; SQL; Business development; AWS; Bachelor's degree; Risk management; APIs; Agile; Maven; Jenkins; Communication skills; PowerShell
Senior Software Engineer - Limited duration position,"Portland, OR","$77,937 - $113,172 a year",Jira; CI/CD; Computer science; Power BI; Program management; Microsoft Excel; Microsoft Access; Azure; Management; Computer Science; Software Engineering; React; RESTful API; Full-stack development; Visual Basic; Relational databases; 5 years; DevOps; C#; Software implementation; UNIX; Microsoft SQL Server; Git; Windows; Microservices; SQL; Database design; Analysis skills; Database management; Bachelor's degree; Confluence; PostgreSQL; Distributed systems; Terraform; REST; Django; Organizational skills; IT; Pivot tables; Linux; Senior level; Communication skills; Python
Software Developer - AI Trainer,"Utica, NY",From $40 an hour,Writing skills; C#; English; Mid-level; SQL; C++; Bachelor's degree; JavaScript; Swift; AI; Grammar Experience; Python; HTML
Software Test Engineer (AHT),"Northridge, CA","$81,300 - $121,900 a year",Jira; Top Secret Clearance; Git; Java; Master's degree; Analysis skills; C++; Bachelor's degree; Scrum; Agile; Senior level; Jenkins
Senior Ruby on Rails Engineer,"Richardson, TX","$120,000 - $135,000 a year",CI/CD; Azure; Computer Science; CSS; Software Engineering; React; Kubernetes; RESTful API; Web development; Full-stack development; Relational databases; 5 years; Software deployment; Git; Google Cloud Platform; Databases; SQL; OOP; AWS; Docker; Bachelor's degree; Ruby on Rails; JavaScript; PostgreSQL; Angular; Ruby; Agile; Senior level; Communication skills; HTML; MySQL
